hwd;pronSampa;ipa
katherine;k { T 3:r i n;kæθɜ:rin
shewmake;S u m eI k;ʃum?k
laube;l O: b;lOːb
kiribati;k I r\ I b A 4 i:;kɪɹɪbɑɾiː
valency;v @ l E n s i:;vəlɛnsiː
harkins;h A r\ k i n z;hɑɹkinz
bahena;b { h i n @;bæhinə
lengthen;l E N T @ n;lɛŋθən
pepsi;p E p s i:;pɛpsiː
charest;tS A r\ eI i s t;?ɑɹ?ist
ingemar(2);I N g i m A r\;ɪŋgimɑɹ
baton(2);b { t A n;bætɑn
rasch;r\ { S;ɹæʃ
miyamori;m i: A m O: r\ i:;miːɑmOːɹiː
embalm;E m b A m;ɛmbɑm
mavis;m eI v i s;m?vis
premature;p r\ i: m @ tS U r\;pɹiːmə?ʊɹ
philby;f I l b i:;fɪlbiː
divens;d aI v @ n z;d?vənz
dennis;d E n i s;dɛnis
blurs;b l 3:r z;blɜ:rz
mcqueary;m @ k w I r\ i:;məkwɪɹiː
reuther;r\ OI D 3:r;ɹ?ðɜ:r
pretended(2);p r\ i: t E n d i d;pɹiːtɛndid
hearths;h A r\ T s;hɑɹθs
sit;s I t;sɪt
hoffecker;h O: f i k 3:r;hOːfikɜ:r
bagels;b eI g @ l z;b?gəlz
burkard;b 3:r k 3:r d;bɜ:rkɜ:rd
izard;I z 3:r d;ɪzɜ:rd
parsefal;p A r\ s i f @ l;pɑɹsifəl
semantics;s i m { n t i k s;simæntiks
dornbusch;d O: r\ n b U S;dOːɹnbʊʃ
timberlands;t I m b 3:r l { n d z;tɪmbɜ:rlændz
kingdom;k I N d @ m;kɪŋdəm
meurer;m 3:r 3:r;mɜ:rɜ:r
ara;{ r\ @;æɹə
hoaglund;h @U g l @ n d;hoʊglənd
sporer;s p O: r\ 3:r;spOːɹɜ:r
tic;t I k;tɪk
cancerous;k { n s 3:r @ s;kænsɜ:rəs
zachow;z A k @U;zɑkoʊ
relinquishing;r\ i: l I N k w i S i N;ɹiːlɪŋkwiʃiŋ
homiletic;h A m @ l E 4 i k;hɑməlɛɾik
vauxhall;v A k s h O: l;vɑkshOːl
leichtman;l aI k t m @ n;l?ktmən
purgason;p 3:r g @ s @ n;pɜ:rgəsən
coefficient;k @U @ f I S @ n t;koʊəfɪʃənt
sketchbooks;s k E tS b U k s;skɛ?bʊks
cantle;k { n t @ l;kæntəl
jorio;dZ O: r\ i: @U;?Oːɹiːoʊ
newby;n u b i:;nubiː
pinkard;p I N k 3:r d;pɪŋkɜ:rd
rousey;r\ aU s i:;ɹ?siː
rexford;r\ E k s f 3:r d;ɹɛksfɜ:rd
borgeson;b O: r\ g i s @ n;bOːɹgisən
financer;f aI n { n s 3:r;f?nænsɜ:r
rhein;r\ aI n;ɹ?n
harbury;h A r\ b 3:r i:;hɑɹbɜ:riː
presser;p r\ E s 3:r;pɹɛsɜ:r
lumbering;l V m b 3:r i N;lʌmbɜ:riŋ
gawk;g O: k;gOːk
leverage(2);l E v r\ @ dZ;lɛvɹə?
nevil;n eI v i: l;n?viːl
lockmiller;l A k m I l 3:r;lɑkmɪlɜ:r
milacron's;m I l @ k r\ A n z;mɪləkɹɑnz
minicar;m I n i: k A r\;mɪniːkɑɹ
mashaw;m { S O:;mæʃOː
rivard;r\ I v 3:r d;ɹɪvɜ:rd
dismisses;d i s m I s i z;dismɪsiz
tacker;t { k 3:r;tækɜ:r
mcguire;m @ g w aI r\;məgw?ɹ
scandalize;s k { n d @ l aI z;skændəl?z
kovacevich;k @ v A tS i v i tS;kəvɑ?ivi?
trojanowski;t r\ @ j @ n O: f s k i:;tɹəjənOːfskiː
demarest;d eI m A r\ eI i s t;d?mɑɹ?ist
celebrate;s E l @ b r\ eI t;sɛləbɹ?t
lorino;l O: r\ i: n @U;lOːɹiːnoʊ
conferred;k @ n f 3:r d;kənfɜ:rd
audry;O: d r\ i:;Oːdɹiː
doornail;d O: r\ n eI l;dOːɹn?l
rudie;r\ u 4 i:;ɹuɾiː
leeper;l i: p 3:r;liːpɜ:r
stoever;s t A E v 3:r;stɑɛvɜ:r
urbanchuk;3:r b V n tS @ k;ɜ:rbʌn?ək
windhorst;w I n d h O: r\ s t;wɪndhOːɹst
scioli;s i: @U l i:;siːoʊliː
sprawls;s p r\ O: l z;spɹOːlz
demean;d i m i: n;dimiːn
fielder's;f i: l d 3:r z;fiːldɜ:rz
hornby;h O: r\ n b i:;hOːɹnbiː
waddy;w A 4 i:;wɑɾiː
throm;T r\ A m;θɹɑm
fredrikson;f r\ E d r\ i k s @ n;fɹɛdɹiksən
guitierrez;g w i: t I r\ E z;gwiːtɪɹɛz
propellers;p r\ @ p E l 3:r z;pɹəpɛlɜ:rz
tin;t I n;tɪn
news';n u z;nuz
duis(2);d i: j u aI z;diːju?z
bratz;b r\ { t s;bɹæts
wik;w I k;wɪk
bargains(2);b A r\ g i n z;bɑɹginz
buttafuoco's;b u 4 @ f w @U k @U z;buɾəfwoʊkoʊz
screwed;s k r\ u d;skɹud
gender;dZ E n d 3:r;?ɛndɜ:r
uniformly;j u n @ f O: r\ m l i:;junəfOːɹmliː
provosts;p r\ @U v @U s t s;pɹoʊvoʊsts
diery;d I r\ i:;dɪɹiː
retirement;r\ i: t aI 3:r m @ n t;ɹiːt?ɜ:rmənt
masturbating;m { s t 3:r b eI 4 i N;mæstɜ:rb?ɾiŋ
colquitt;k @U l k w i t;koʊlkwit
maire;m E r\;mɛɹ
heyer;h eI 3:r;h?ɜ:r
timor's;t i: m O: r\ z;tiːmOːɹz
genre;Z A n r\ @;ʒɑnɹə
electrochemical;@ l E k t r\ @U k E m i k @ l;əlɛktɹoʊkɛmikəl
brownouts;b r\ aU n aU t s;bɹ?n?ts
viani;v i: A n i:;viːɑniː
bloods;b l V d z;blʌdz
pedroli;p E d r\ @U l i:;pɛdɹoʊliː
colab;k @U l { b;koʊlæb
millisent;m I l @ s @ n t;mɪləsənt
cuenca;k w E n k @;kwɛnkə
bab;b { b;bæb
cyr;s I r\;sɪɹ
faces;f eI s @ z;f?səz
helpings;h E l p i N z;hɛlpiŋz
pint-size;p aI n t s aI z;p?nts?z
susannah;s u s { n @;susænə
matkins;m { t k i n z;mætkinz
individualistic(2);I n d @ v I dZ u @ l I s t i k;ɪndəvɪ?uəlɪstik
sociology;s @U s i: A l @ dZ i:;soʊsiːɑlə?iː
wagons;w { g @ n z;wægənz
zanni;z { n i:;zæniː
hampshire's;h { m p S 3:r z;hæmpʃɜ:rz
beene;b i: n;biːn
edmister;E d m i s t 3:r;ɛdmistɜ:r
neat;n i: t;niːt
raeder;r\ E 4 3:r;ɹɛɾɜ:r
clouds;k l aU d z;kl?dz
restrict;r\ i: s t r\ I k t;ɹiːstɹɪkt
cedeno;tS E d E n @U;?ɛdɛnoʊ
inflaming;i n f l eI m i N;infl?miŋ
dreamland;d r\ i: m l { n d;dɹiːmlænd
cryogenics;k r\ aI @ dZ E n i k s;kɹ?ə?ɛniks
spiker;s p aI k 3:r;sp?kɜ:r
nonmanagement;n A n m { n i dZ m @ n t;nɑnmæni?mənt
hudler;h u 4 @ l 3:r;huɾəlɜ:r
quiche;k i: S;kiːʃ
gentian;dZ E n S @ n;?ɛnʃən
lobstermen;l A b s t 3:r m i n;lɑbstɜ:rmin
lambreau;l { m b r\ @U;læmbɹoʊ
semireligious(3);s E m aI r\ i l I dZ @ s;sɛm?ɹilɪ?əs
goulston;g u l s t @ n;gulstən
revuelta;r\ @ v w E l t @;ɹəvwɛltə
waibel;w eI b @ l;w?bəl
ash;{ S;æʃ
eckrote;E k r\ @ t;ɛkɹət
fashion;f { S @ n;fæʃən
novelly;n @U v @ l i:;noʊvəliː
wolfenden;w U l f E n d @ n;wʊlfɛndən
brumley;b r\ V m l i:;bɹʌmliː
alarid;@ l E r\ i d;əlɛɹid
haydu;h eI 4 u;h?ɾu
klepfer;k l E p f 3:r;klɛpfɜ:r
sobek;s @U b i k;soʊbik
paille;p eI l;p?l
leinart;l aI n A r\ t;l?nɑɹt
gartland;g A r\ t l @ n d;gɑɹtlənd
bachelor's;b { tS @ l 3:r z;bæ?əlɜ:rz
festival's;f E s t i v @ l z;fɛstivəlz
yeldell;j E l d @ l;jɛldəl
teta;t E 4 @;tɛɾə
glaciated(2);g l eI s i: eI 4 @ d;gl?siː?ɾəd
listening(2);l I s n i N;lɪsniŋ
herner;h 3:r n 3:r;hɜ:rnɜ:r
lapiana;l A p i: { n @;lɑpiːænə
colonize;k A l @ n aI z;kɑlən?z
kubick;k j u b i k;kjubik
cosentino;k @U s E n t i: n @U;koʊsɛntiːnoʊ
extinguishment;i k s t I N g w i S m @ n t;ikstɪŋgwiʃmənt
macdiarmid;m @ k d I r\ m i d;məkdɪɹmid
oh;@U;oʊ
mosses;m O: s @ z;mOːsəz
rudzinski;r\ @ dZ I n s k i:;ɹə?ɪnskiː
crotty;k r\ A 4 i:;kɹɑɾiː
biscardi;b i s k A r\ 4 i:;biskɑɹɾiː
boorman;b U r\ m @ n;bʊɹmən
moan;m @U n;moʊn
norms;n O: r\ m z;nOːɹmz
embroidered;E m b r\ OI 4 3:r d;ɛmbɹ?ɾɜ:rd
texan's;t E k s @ n z;tɛksənz
skirl;s k 3:r l;skɜ:rl
motter;m A 4 3:r;mɑɾɜ:r
proposal;p r\ @ p @U z @ l;pɹəpoʊzəl
ma;m A;mɑ
reininger;r\ aI n i N 3:r;ɹ?niŋɜ:r
wiman;w aI m @ n;w?mən
disgraceful;d i s g r\ eI s f @ l;disgɹ?sfəl
rosalyn;r\ A z @ l i n;ɹɑzəlin
hoots;h u t s;huts
hainline;h eI n l aI n;h?nl?n
winther;w I n T 3:r;wɪnθɜ:r
thaler;T eI l 3:r;θ?lɜ:r
tamke;t { m k i:;tæmkiː
denzil;d E n z @ l;dɛnzəl
nilles;n aI l z;n?lz
koppen;k A p @ n;kɑpən
carbonaro;k A r\ b @U n A r\ @U;kɑɹboʊnɑɹoʊ
partenope;p A r\ t @ n @U p;pɑɹtənoʊp
steber;s t i: b 3:r;stiːbɜ:r
markland;m A r\ k l @ n d;mɑɹklənd
hatty;h { 4 i:;hæɾiː
hennessey;h E n @ s i:;hɛnəsiː
harsham;h A r\ S @ m;hɑɹʃəm
keisler;k aI s @ l 3:r;k?səlɜ:r
carriveau;k { r\ i v @U;kæɹivoʊ
finian;f I n i: @ n;fɪniːən
peerson;p I r\ s @ n;pɪɹsən
risque;r\ I s k eI;ɹɪsk?
redstone's;r\ E d s t @U n z;ɹɛdstoʊnz
shoultz;S @U l t s;ʃoʊlts
sabella;s @ b E l @;səbɛlə
haitien;h eI S @ n;h?ʃən
rusting;r\ V s t i N;ɹʌstiŋ
peretz;p 3:r i t s;pɜ:rits
hemodynamics;h E m @U d aI n { m i k s;hɛmoʊd?næmiks
anzio;{ n z i: @U;ænziːoʊ
alpex;{ l p E k s;ælpɛks
hoster;h @U s t 3:r;hoʊstɜ:r
trampe;t r\ { m p;tɹæmp
belushi;b E l u S i:;bɛluʃiː
clearing;k l I r\ i N;klɪɹiŋ
insecurity;I n s i k j U r\ i 4 i:;ɪnsikjʊɹiɾiː
hakala;h @ k A l @;həkɑlə
melina;m E l i: n @;mɛliːnə
villani;v i: l A n i:;viːlɑniː
valentia;v A l E n S @;vɑlɛnʃə
leaker;l i: k 3:r;liːkɜ:r
marthaler;m A r\ T @ l 3:r;mɑɹθəlɜ:r
walby;w O: l b i:;wOːlbiː
schweich;S w aI k;ʃw?k
exclaims;i k s k l eI m z;ikskl?mz
recharge;r\ i: tS A r\ dZ;ɹiː?ɑɹ?
twirled;t w 3:r l d;twɜ:rld
raybould;r\ eI b @U l d;ɹ?boʊld
brenning;b r\ E n i N;bɹɛniŋ
heintz;h aI n t s;h?nts
sani(2);s { n i;sæni
tobu;t @U b u;toʊbu
uneven;@ n i: v @ n;əniːvən
demar;d i m A r\;dimɑɹ
indians';I n d i: @ n z;ɪndiːənz
hanly;h { n l i:;hænliː
holtzman;h @U l t s m @ n;hoʊltsmən
siders;s aI 4 3:r z;s?ɾɜ:rz
intermedic;I n t 3:r m E 4 i k;ɪntɜ:rmɛɾik
wacky;w { k i:;wækiː
myrtice;m I r\ 4 i s;mɪɹɾis
toyota's;t @U j @U 4 @ z;toʊjoʊɾəz
cerska;k 3:r s k @;kɜ:rskə
boeing;b @U i N;boʊiŋ
gatch;g { tS;gæ?
bustle;b V s @ l;bʌsəl
atone;@ t @U n;ətoʊn
winton;w I n t @ n;wɪntən
appertain;{ p 3:r t eI n;æpɜ:rt?n
ashmead;{ S m i: d;æʃmiːd
tramonte;t r\ A m @U n t i:;tɹɑmoʊntiː
allegheny's;{ l @ g eI n i: z;æləg?niːz
zionists;z aI @ n i s t s;z?ənists
hilmes;h I l m z;hɪlmz
ludites;l u 4 aI t s;luɾ?ts
datron;d { t r\ @ n;dætɹən
salvato;s A l v A 4 @U;sɑlvɑɾoʊ
lusch;l V S;lʌʃ
mcglasson;m @ g l { s @ n;məglæsən
woolen;w U l @ n;wʊlən
evading;i v eI 4 i N;iv?ɾiŋ
helsley;h E l s l i:;hɛlsliː
apprentice(2);@ p r\ E n t i s;əpɹɛntis
heffern;h E f 3:r n;hɛfɜ:rn
override;@U v 3:r r\ aI d;oʊvɜ:rɹ?d
sorce;s O: r\ s;sOːɹs
anchorman(2);{ N k 3:r m @ n;æŋkɜ:rmən
westrich;w E s t r\ i k;wɛstɹik
whitaker(2);h w I 4 @ k 3:r;hwɪɾəkɜ:r
